State,County2,FIPS
Ohio,Licking County,39089
Florida,Collier County,12021
Illinois,McLean County,17113
South Carolina,Greenville County,45045
West Virginia,Kanawha County,54039
Michigan,Ingham County,26065
Nebraska,Lancaster County,31109
Alabama,Tuscaloosa County,1125
California,Marin County,6041
Minnesota,Stearns County,27145
California,Kings County,6031
Utah,Washington County,49053
Georgia,Clayton County,13063
Delaware,New Castle County,10003
Michigan,Kalamazoo County,26077
Iowa,Polk County,19153
Illinois,Champaign County,17019
Pennsylvania,York County,42133
Illinois,Whiteside County,17195
New Jersey,Burlington County,34005
Pennsylvania,Lancaster County,42071
Colorado,Douglas County,8035
Ohio,Trumbull County,39155
Oregon,Washington County,41067
South Carolina,Charleston County,45019
Maine,Cumberland County,23005
New Mexico,McKinley County,35031
Florida,Osceola County,12097
Washington,Grant County,53025
New Jersey,Mercer County,34021
Minnesota,St. Louis County,27137
Louisiana,Ouachita Parish,22073
Colorado,Larimer County,8069
Minnesota,Washington County,27163
Michigan,Washtenaw County,26161
Washington,Clark County,53011
New Jersey,Ocean County,34029
Minnesota,Wright County,27171
Ohio,Butler County,39017
Colorado,Boulder County,8013
Illinois,Tazewell County,17179
Colorado,Arapahoe County,8005
Michigan,Saginaw County,26145
Louisiana,Caddo Parish,22017
Virginia,Henrico County,51087
New Hampshire,Rockingham County,33015
Massachusetts,Bristol County,25005
Pennsylvania,Berks County,42011
Nevada,Washoe County,32031
Arizona,Mohave County,4015
Texas,Brazoria County,48039
Massachusetts,Suffolk County,25025
New Jersey,Camden County,34007
California,San Luis Obispo County,6079
New Hampshire,Hillsborough County,33011
Minnesota,Anoka County,27003
Idaho,Canyon County,16027
Pennsylvania,Chester County,42029
Texas,Tom Green County,48451
Texas,Jefferson County,48245
Pennsylvania,Montgomery County,42091
North Carolina,Guilford County,37081
South Carolina,Richland County,45079
Oregon,Clackamas County,41005
Michigan,Ottawa County,26139
Alabama,Montgomery County,1101
Minnesota,Dakota County,27037
Pennsylvania,Delaware County,42045
Louisiana,Jefferson Parish,22051
California,Madera County,6039
Florida,Pinellas County,12103
California,Placer County,6061
Arizona,Apache County,4001
Pennsylvania,Bucks County,42017
Pennsylvania,Westmoreland County,42129
Illinois,Winnebago County,17201
Illinois,Sangamon County,17167
Ohio,Lucas County,39095
Georgia,Gwinnett County,13135
Ohio,Stark County,39151
Arizona,Coconino County,4005
Arizona,Cochise County,4003
Oregon,Marion County,41047
Texas,Webb County,48479
California,Santa Cruz County,6087
Arkansas,Pulaski County,5119
New York,Monroe County,36055
Kansas,Johnson County,20091
Texas,Lubbock County,48303
Illinois,Peoria County,17143
Wisconsin,Dane County,55025
Rhode Island,Providence County,44007
Illinois,Madison County,17119
Maryland,Montgomery County,24031
Texas,Montgomery County,48339
Colorado,El Paso County,8041
Massachusetts,Hampden County,25013
Massachusetts,Plymouth County,25023
Washington,Spokane County,53063
Wisconsin,Waukesha County,55133
Texas,McLennan County,48309
California,San Francisco County,6075
Indiana,Lake County,18089
California,Imperial County,6025
Utah,Weber County,49057
New Jersey,Hudson County,34017
Washington,Pierce County,53053
Arizona,Yavapai County,4025
Colorado,Denver County,8031
Arizona,Yuma County,4027
Florida,Lee County,12071
New Jersey,Morris County,34027
Colorado,Weld County,8123
Mississippi,Hinds County,28049
Illinois,McHenry County,17111
Illinois,St. Clair County,17163
Washington,Snohomish County,53061
Connecticut,New Haven County,9009
Arizona,Navajo County,4017
Alabama,Mobile County,1097
Idaho,Ada County,16001
Connecticut,Hartford County,9003
Maryland,Baltimore County,24005
New Jersey,Monmouth County,34025
Arizona,Pinal County,4021
New Jersey,Union County,34039
Florida,Polk County,12105
Ohio,Summit County,39153
Missouri,St. Louis city,29510
Texas,Denton County,48121
Georgia,DeKalb County,13089
Nebraska,Douglas County,31055
Texas,Williamson County,48491
New Jersey,Passaic County,34031
Ohio,Montgomery County,39113
Michigan,Genesee County,26049
Missouri,Jackson County,29095
Virginia,Fairfax County,51059
Utah,Davis County,49011
Texas,Nueces County,48355
Washington,Yakima County,53077
Massachusetts,Norfolk County,25021
Tennessee,Davidson County,47037
Texas,Fort Bend County,48157
California,Merced County,6047
Connecticut,Fairfield County,9001
Louisiana,East Baton Rouge Parish,22033
Colorado,Jefferson County,8059
Colorado,Adams County,8001
Hawaii,Honolulu County,15003
California,Santa Barbara County,6083
New York,Erie County,36029
Indiana,Marion County,18097
Maryland,Baltimore city,24510
Florida,Duval County,12031
North Carolina,Wake County,37183
New Jersey,Middlesex County,34023
Florida,Palm Beach County,12099
California,Sonoma County,6097
North Carolina,Mecklenburg County,37119
New York,Westchester County,36119
Georgia,Fulton County,13121
California,Stanislaus County,6099
Massachusetts,Essex County,25009
New Mexico,Bernalillo County,35001
Kentucky,Jefferson County,21111
Ohio,Hamilton County,39061
Michigan,Kent County,26081
California,San Mateo County,6081
New Jersey,Essex County,34013
Maryland,Prince George's County,24033
Florida,Hillsborough County,12057
California,Monterey County,6053
Massachusetts,Worcester County,25027
Minnesota,Ramsey County,27123
District of Columbia,District of Columbia,11001
California,San Joaquin County,6077
Texas,Collin County,48085
Illinois,Kane County,17089
Pennsylvania,Allegheny County,42003
New Jersey,Bergen County,34003
Florida,Orange County,12095
Wisconsin,Milwaukee County,55079
New York,Suffolk County,36103
California,Sacramento County,6067
Missouri,St. Louis County,29189
California,Contra Costa County,6013
Alabama,Jefferson County,1073
Utah,Utah County,49049
Michigan,Macomb County,26099
New York,Nassau County,36059
Illinois,Lake County,17097
New York,Bronx County,36005
Massachusetts,Middlesex County,25017
California,Tulare County,6107
Illinois,Will County,17197
Pennsylvania,Philadelphia County,42101
Texas,Travis County,48453
New York,New York County,36061
New York,Queens County,36081
Nevada,Clark County,32003
Texas,Cameron County,48061
Tennessee,Shelby County,47157
California,Ventura County,6111
Texas,El Paso County,48141
California,Kern County,6029
Ohio,Franklin County,39049
Arizona,Pima County,4019
Florida,Broward County,12011
Utah,Salt Lake County,49035
Washington,King County,53033
New York,Kings County,36047
California,Alameda County,6001
Illinois,DuPage County,17043
Minnesota,Hennepin County,27053
Ohio,Cuyahoga County,39035
Michigan,Oakland County,26125
California,Fresno County,6019
Texas,Tarrant County,48439
California,Santa Clara County,6085
California,Riverside County,6065
Texas,Bexar County,48029
Texas,Hidalgo County,48215
Texas,Dallas County,48113
California,San Bernardino County,6071
Michigan,Wayne County,26163
California,San Diego County,6073
Florida,Miami-Dade County,12086
California,Orange County,6059
Arizona,Maricopa County,4013
Texas,Harris County,48201
Illinois,Cook County,17031
California,Los Angeles County,6037
